Tipo Test, Tipo Config. Cassa, Num Cassieri, Giorno, IC Tempo Attesa, IC Slowdown, IC SD Tempo Att, IC Abbandoni, IC Arrivi, Lungh. Fila Tollerata, Num Simulazioni, alpha
7, sperimentale_20_60_20, 1, venerdì, "[12.389457, 1.081083]", "[1.301203, 0.036320]", "[2723.030035, 3626.863743]", "[0.000000, 0.000000]", "[4146.900000, 66.390436]", 10, 10, 0.050000
7, sperimentale_20_60_20, 1, sabato, "[10.862133, 0.915088]", "[1.262319, 0.031903]", "[6052.749292, 2556.360362]", "[0.000000, 0.000000]", "[3895.400000, 64.617645]", 10, 10, 0.050000
7, sperimentale_20_60_20, 1, domenica, "[9.672848, 0.870466]", "[1.233528, 0.029224]", "[7932.588329, 2131.653196]", "[0.000000, 0.000000]", "[3581.600000, 57.194755]", 10, 10, 0.050000
7, sperimentale_20_60_20, 1, lunedì, "[12.108892, 1.441472]", "[1.304834, 0.048570]", "[4877.207791, 2997.557688]", "[0.400000, 0.663325]", "[4116.500000, 66.169857]", 10, 10, 0.050000
7, sperimentale_20_60_20, 1, martedì, "[10.287872, 0.896268]", "[1.256468, 0.029723]", "[5869.353107, 2810.290127]", "[0.000000, 0.000000]", "[3967.100000, 69.249477]", 10, 10, 0.050000
7, sperimentale_20_60_20, 1, mercoledì, "[13.055345, 1.556477]", "[1.329540, 0.052160]", "[2692.385491, 3637.192926]", "[0.300000, 0.640312]", "[4197.300000, 63.550059]", 10, 10, 0.050000
7, sperimentale_20_60_20, 1, giovedì, "[12.146524, 1.360336]", "[1.303227, 0.044700]", "[-92.183734, 3568.189681]", "[0.300000, 0.640312]", "[4173.500000, 67.225367]", 10, 10, 0.050000
7, sperimentale_20_60_20, 1, venerdì, "[11.492863, 1.105766]", "[1.287351, 0.036560]", "[2714.049983, 3680.713235]", "[0.000000, 0.000000]", "[4146.900000, 66.390436]", 10, 10, 0.050000
7, sperimentale_20_60_20, 1, sabato, "[10.087302, 0.930475]", "[1.250389, 0.032031]", "[5668.916917, 2565.194328]", "[0.000000, 0.000000]", "[3895.400000, 64.617645]", 10, 10, 0.050000
7, sperimentale_20_60_20, 1, domenica, "[8.988444, 0.885390]", "[1.222985, 0.029387]", "[7384.062593, 2145.172521]", "[0.000000, 0.000000]", "[3581.600000, 57.194755]", 10, 10, 0.050000
7, sperimentale_20_60_20, 1, lunedì, "[11.891370, 1.443999]", "[1.301469, 0.048644]", "[4855.206442, 3046.961832]", "[0.400000, 0.663325]", "[4116.500000, 66.169857]", 10, 10, 0.050000
7, sperimentale_20_60_20, 1, martedì, "[10.112645, 0.894964]", "[1.253750, 0.029713]", "[5817.079050, 2841.621567]", "[0.000000, 0.000000]", "[3967.100000, 69.249477]", 10, 10, 0.050000
7, sperimentale_20_60_20, 1, mercoledì, "[12.815926, 1.558507]", "[1.325827, 0.052222]", "[2719.738187, 3698.455866]", "[0.300000, 0.640312]", "[4197.300000, 63.550059]", 10, 10, 0.050000
7, sperimentale_20_60_20, 1, giovedì, "[11.914085, 1.363469]", "[1.299632, 0.044772]", "[40.491626, 3613.752318]", "[0.300000, 0.640312]", "[4173.500000, 67.225367]", 10, 10, 0.050000
7, sperimentale_20_60_20, 1, venerdì, "[11.275971, 1.105857]", "[1.284003, 0.036605]", "[2752.935632, 3744.498802]", "[0.000000, 0.000000]", "[4146.900000, 66.390436]", 10, 10, 0.050000
7, sperimentale_20_60_20, 1, sabato, "[9.909482, 0.933130]", "[1.247642, 0.032050]", "[5606.674716, 2586.040247]", "[0.000000, 0.000000]", "[3895.400000, 64.617645]", 10, 10, 0.050000
7, sperimentale_20_60_20, 1, domenica, "[8.837211, 0.882988]", "[1.220633, 0.029351]", "[7282.623820, 2152.251222]", "[0.000000, 0.000000]", "[3581.600000, 57.194755]", 10, 10, 0.050000
